corp_id,corp_name,schl_id,schl_name,IREAD_pct
4205,Center Grove Community School Corp,3444,Pleasant Grove Elementary School,0.943
4215,Edinburgh Community School Corp,3452,East Side Elementary School,0.851
4225,Franklin Community School Corp,3413,Needham Elementary School,0.926
4225,Franklin Community School Corp,3433,Union Elementary School,0.974
4225,Franklin Community School Corp,3461,Northwood Elementary School,0.746
4225,Franklin Community School Corp,3465,Webb Elementary School,0.818
4225,Franklin Community School Corp,3467,Creekside Elementary School,0.81
4245,Greenwood Community Sch Corp,3477,Greenwood Northeast Elementary Sch,0.81
4245,Greenwood Community Sch Corp,3479,Westwood Elementary School,0.91
4245,Greenwood Community Sch Corp,3481,V O Isom Central Elem School,0.826
4245,Greenwood Community Sch Corp,3483,Southwest Elementary School,0.904
4255,Nineveh-Hensley-Jackson United,3411,Indian Creek Intermediate School,0.943
4315,North Knox School Corp,3545,North Knox Intermediate,0.926
4325,South Knox School Corp,3489,South Knox Elementary School,0.94
4335,Vincennes Community School Corp,3509,Benjamin Franklin Elementary Sch,0.946
4335,Vincennes Community School Corp,3573,James Whitcomb Riley Elem Sch,NA
4335,Vincennes Community School Corp,3577,Tecumseh-Harrison Elementary Sch,0.759
4335,Vincennes Community School Corp,3581,Francis Vigo Elementary School,0.872
4345,Wawasee Community School Corp,3625,North Webster Elementary School,0.96
4345,Wawasee Community School Corp,3635,Milford Elementary School,0.769
4345,Wawasee Community School Corp,3637,Syracuse Elementary School,0.878
4415,Warsaw Community Schools,3589,Claypool Elementary School,0.72
4415,Warsaw Community Schools,3608,Eisenhower Elementary School,0.901
4415,Warsaw Community Schools,3610,Harrison Elementary School,0.807
4415,Warsaw Community Schools,3613,Leesburg Elementary School,0.836
